HTS Number,Description,Country,Custom Value 2009,Custom Value 2011,Custom Value 2014,Custom Value - Percent Change 2011 - 2014,"Quantity 2009, kg","Quantity 2011, kg",Quantity 2014,Quantity - Percent Change 2011 - 2014
9011100,"Coffee, not roasted, not decaffeinated ",Brazil,726726478,1865120940,1264840675,-32.18%,319256346,393741672,409421505,4.00%
9011100,"Coffee, not roasted, not decaffeinated ",Colombia,631771263,1173972285,1076251877,-8.32%,181806245,188282604,257476975,36.80%
9011100,"Coffee, not roasted, not decaffeinated ",Vietnam,251151477,455892223,441414279,-3.18%,167029513,189602810,207996961,9.70%
9011100,"Coffee, not roasted, not decaffeinated ",Guatemala,320914244,559194584,354691587,-36.57%,99893409,92026385,82352006,-10.50%
9011100,"Coffee, not roasted, not decaffeinated ",Indonesia,189616320,301362213,298773577,-0.86%,75950567,54203674,60036292,10.80%
9011100,"Coffee, not roasted, not decaffeinated ",Nicaragua,107446760,205466101,221210140,7.66%,35039633,37007669,54972180,48.50%
9011100,"Coffee, not roasted, not decaffeinated ",Mexico,195224759,389963605,210878781,-45.92%,72216349,67705463,53061929,-21.60%
9011100,"Coffee, not roasted, not decaffeinated ",Peru,139072151,351227700,183968949,-47.62%,45472746,60396628,47292694,-21.70%
9011100,"Coffee, not roasted, not decaffeinated ",Costa Rica,146868594,240802635,176035207,-26.90%,43281316,40444186,39305506,-2.80%
9011100,"Coffee, not roasted, not decaffeinated ",Honduras,70242334,207269359,170103533,-17.93%,25529267,36254175,47042699,29.80%
9011100,"Coffee, not roasted, not decaffeinated ",Ethiopia,36620760,94281565,90122535,-4.41%,11627141,15849293,16995966,7.20%
9011100,"Coffee, not roasted, not decaffeinated ",Papua New Guinea,38325871,72205887,55924372,-22.55%,12270079,12756473,14534734,13.90%
9011100,"Coffee, not roasted, not decaffeinated ",El Salvador,67883783,193206012,44672020,-76.88%,23992698,38019496,11391316,-70.00%
9011100,"Coffee, not roasted, not decaffeinated ",Kenya,32131243,38479837,43239016,12.37%,8029815,4898582,7558387,54.30%
9011100,"Coffee, not roasted, not decaffeinated ",Rwanda,13511981,19810773,23345104,17.84%,3741490,3378947,5237013,55.00%
9011100,"Coffee, not roasted, not decaffeinated ",Uganda,12741477,23215603,22998775,-0.93%,7595733,7212429,6884315,-4.50%
9011100,"Coffee, not roasted, not decaffeinated ",Tanzania,22875003,28548222,18632107,-34.73%,7363402,4598718,4988163,8.50%
9011100,"Coffee, not roasted, not decaffeinated ",Ecuador,9119847,21596413,12459805,-42.31%,3738252,4207034,3227868,-23.30%
9011100,"Coffee, not roasted, not decaffeinated ",China,2216589,25526713,11824828,-53.68%,913226,5005548,2967598,-40.70%
9011100,"Coffee, not roasted, not decaffeinated ",Panama,7609367,8004048,6680401,-16.54%,2011415,1498231,1116967,-25.40%
