Country,4C,Fairtrade,Organic,Rainforest Alliance,UTZ Certified,Adjusted Aggregate*
Brazil,37.50%,1.90%,0.50%,3.30%,8.90%,41%
Vietnam,25.20%,-,-,1.50%,11.00%,30%
Colombia,56.90%,23.40%,1.00%,6.40%,17.10%,60%
Indonesia,-,5.20%,2.80%,2.30%,3.40%,11%
Peru,-,18.40%,18.50%,8.20%,17.50%,30%
Honduras,-,4.50%,5.10%,2.10%,18.20%,24%
Ethiopia,-,-,11.20%,0.40%,0.90%,10%
India,-,5.20%,0.40%,3.40%,10.00%,15%
Mexico,-,5.90%,16.40%,1.60%,2.90%,21%
Guatemala,-,-,2.60%,6.80%,6.90%,13%
Uganda,-,-,1.40%,2.00%,11.00%,11%
Nicaragua,-,17.90%,4.80%,8.20%,10.30%,33%
Costa Rica,-,24.40%,0.70%,13.20%,2.10%,32%
C»te dêIvoire,-,-,0.30%,0.10%,-,0%
Papua New Guinea,-,-,6.50%,1.40%,1.70%,8%
El Salvador,-,-,4.70%,23.50%,0.30%,22%
Ecuador,-,-,0.90%,-,-,1%
Kenya,-,-,0.10%,9.30%,19.10%,23%
Thailand,-,-,0.10%,-,-,0%
Tanzania,-,43.10%,7.20%,0.70%,-,40%
