Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,8,Albania,ALB,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,4192390,4192390,11659987,0
H4,2014,2014,2014,6,1,1,Import,12,Algeria,DZA,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,128235024,128235024,301774940,0
H4,2014,2014,2014,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,11878,11878,29119,0
H4,2014,2014,2014,6,1,1,Import,32,Argentina,ARG,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,24167391,24167391,61063634,0
H4,2014,2014,2014,6,1,1,Import,36,Australia,AUS,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,74175894,74175894,260480897,0
H4,2014,2014,2014,6,1,2,Export,36,Australia,AUS,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,942749,942749,4006280,0
H4,2014,2014,2014,6,1,1,Import,44,Bahamas,BHS,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,77115,77115,359899,0
H4,2014,2014,2014,6,1,1,Import,48,Bahrain,BHR,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,130021,130021,481584,0
H4,2014,2014,2014,6,1,2,Export,48,Bahrain,BHR,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,1336,1336,26705,0
H4,2014,2014,2014,6,1,3,Re-Export,48,Bahrain,BHR,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,1276,1276,25910,0
H4,2014,2014,2014,6,1,1,Import,51,Armenia,ARM,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,10855518,10855518,23567690,0
H4,2014,2014,2014,6,1,2,Export,51,Armenia,ARM,0,World,WLD,090111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,Weight in kilograms,122500,122500,242839,0
